lat,lng,name
55.9830,-131.661,BAILEY HOT SPRING
57.0850,-134.839,BARANOF WARM SPRINGS
56.6800,-131.882,BARNES LAKE HOT SPRINGS
55.9330,-131.559,BELL ISLAND HOT SPRINGS
56.2330,-131.267,BRADFIELD CANAL HOT SPRINGS
65.0530,-146.057,CHENA HOT SPRINGS
56.7170,-132.005,CHIEF SHAKES HOT SPRINGS
52.8400,-169.900,CHUGINADAK HOT SPRINGS
65.4830,-144.637,CIRCLE HOT SPRINGS
64.8500,-162.300,CLEAR CREEK HOT SPRINGS
66.2170,-149.547,DALL HOT SPRINGS
55.3340,-133.641,DALTON (CRAIG) HOT SPRINGS
